key,article_id,data_inizio_validita,data_fine_validita,price_before,price_in_period,delta_price,qty_pre,qty_in_period,sales_ht_pre,sales_pre,sales_ht_in_period,sales_in_period,cifra_ssp_pre,cifra_ssp_in_period,sconto_a_valore_in_period,margine_pp_valore_pre,margine_pp_valore_in_period,giorni_nel_periodo,delta_margine_pp_valore,qty_n_1,vendite_n_1,vendite_ht_n_1,margine_valore_n_1,gg_copertura,gg_copertura_n_1
82889426-2026-02-25,82889426,2026-02-25,2026-05-05,159.99,147.69,-12.3,4.0,5.0,518.5798,632.6674,583.5857,711.9745,639.96,738.45,-26.4755,127.771,102.1618,69.0,-25.6092,3.0,474.7145,389.1102,117.7464,68.4848,102.55
84852383-2026-05-14,84852383,2026-05-14,,91.99,103.09,11.1,12.0,19.0,887.9817,1083.3377,1605.5,1958.71,1103.88,1958.71,0.0,353.3486,753.7092,40.0,400.3606,14.0,1282.1726,1050.9611,117.7532,126.8229,133.3066
82091877-2025-10-05,82091877,2025-10-05,2025-12-29,287.0,306.49,19.49,128.0,158.0,29601.9149,36114.3362,36356.2367,44354.6088,36736.0,48425.42,-4070.8112,7274.3512,6204.1155,85.0,-1070.2357,141.0,40552.4135,33239.6832,7592.3866,884.5369,972.7474
88036379-2026-01-26,88036379,2026-01-26,2026-05-09,113.99,119.29,5.3,219.0,251.0,20247.9525,24702.5021,24542.4508,29941.79,24963.81,29941.79,0.0,11309.1115,13740.4161,103.0,2431.3046,204.0,23826.2366,19529.7022,2815.1212,99.4131,101.9693
89670202-2026-04-05,89670202,2026-04-05,,665.99,669.49,3.5,176.0,172.0,94535.4718,115333.2756,94387.1148,115152.28,117214.24,115152.28,0.0,5183.6331,7496.5127,79.0,2312.8795,108.0,69025.1889,56578.0237,5682.2471,20.3377,5.0
80717441-2025-07-23,80717441,2025-07-23,,167.99,172.79,4.8,39.0,31.0,5333.189,6506.4906,4144.2768,5056.0176,6551.61,5356.49,-300.4724,1327.6855,829.6344,335.0,-498.0511,36.0,5775.9589,4734.3925,1268.3019,46.5349,28.8981
88280961-2026-02-24,88280961,2026-02-24,,8.9,9.39,0.49,5.0,6.0,36.4563,44.4767,46.1803,56.34,44.5,56.34,0.0,2.5342,3.3864,119.0,0.8522,3.0,28.4982,23.3592,5.7743,152.8751,209.8082
86750215-2025-12-10,86750215,2025-12-10,,15.99,15.19,-0.8,1179.0,831.0,14911.9265,18192.5503,10025.0133,12230.5162,18852.21,12622.89,-392.3738,4050.4732,2658.8177,195.0,-1391.6554,1158.0,18531.2759,15189.5704,5148.2553,256.7169,246.7892
80425431-2025-12-14,80425431,2025-12-14,2026-03-31,104.9,104.19,-0.71,6.0,7.0,511.1842,623.6447,573.6295,699.8279,629.4,729.33,-29.5021,175.6087,170.7692,107.0,-4.8395,8.0,764.2748,626.4548,149.1789,808.6718,649.3378
89988933-2026-02-06,89988933,2026-02-06,,295.9,283.39,-12.51,294.0,307.0,71261.3182,86938.8082,70544.698,86064.5316,86994.6,87000.73,-936.1984,12919.6964,7514.1778,137.0,-5405.5186,512.0,144453.7176,118404.6866,21843.6512,137.8021,5.0
81913848-2026-01-26,81913848,2026-01-26,2026-04-01,47.99,48.69,0.7,19.0,25.0,740.0703,902.8858,971.8887,1185.7042,911.81,1217.25,-31.5458,302.6563,339.85,65.0,37.1937,16.0,657.7232,539.1173,199.4138,311.3272,
80658700-2026-05-06,80658700,2026-05-06,2026-08-12,58.99,53.69,-5.3,78.0,77.0,3766.0826,4594.6208,3282.3919,4004.5181,4601.22,4134.13,-129.6119,1627.8704,1097.8065,98.0,-530.0639,134.0,7443.4063,6101.1527,1447.2394,155.6208,
84298262-2026-02-22,84298262,2026-02-22,,78.49,74.69,-3.8,11.0,11.0,702.1027,856.5652,673.4344,821.59,863.39,821.59,0.0,267.8238,227.3862,121.0,-40.4375,11.0,893.1592,732.0977,293.4325,1037.47,444.7514
87648117-2025-08-06,87648117,2025-08-06,2025-09-15,24.99,26.39,1.4,155.0,251.0,3085.4359,3764.2318,5169.8025,6307.159,3873.45,6623.89,-316.731,1093.1549,1860.2357,40.0,767.0809,133.0,3093.744,2535.8557,672.2116,,
87613426-2025-12-26,87613426,2025-12-26,,65.99,64.99,-1.0,680.0,592.0,36234.7171,44206.3549,29480.469,35966.1721,44873.2,38474.08,-2507.9079,10874.0306,7769.3008,179.0,-3104.7297,497.0,35919.0945,29441.8808,3957.8203,612.2057,
80334846-2025-09-07,80334846,2025-09-07,2025-12-01,65.99,68.99,3.0,547.0,454.0,29414.6303,35885.8489,23892.4633,29148.8052,36096.53,31321.46,-2172.6548,10733.808,8932.6341,85.0,-1801.1739,647.0,41563.1854,34068.1848,9330.8245,35.4965,17.8662
82252815-2025-10-29,82252815,2025-10-29,,67.49,77.49,10.0,29.0,17.0,1580.6794,1928.4288,982.1275,1198.1955,1957.21,1317.33,-119.1345,301.4242,208.0436,237.0,-93.3807,21.0,1236.2179,1013.2934,304.2338,168.8731,
80577416-2025-07-02,80577416,2025-07-02,,63.49,68.69,5.2,125.0,62.0,6454.164,7874.0801,3471.7176,4235.4955,7936.25,4258.78,-23.2845,607.9159,626.5776,356.0,18.6617,119.0,6166.3013,5054.3453,2116.9766,49.7818,24.3693
87318197-2025-12-14,87318197,2025-12-14,2026-04-11,60.49,65.69,5.2,958.0,939.0,47071.1257,57426.7734,50011.2997,61013.7857,57949.42,61682.91,-669.1243,12069.1044,14775.5893,118.0,2706.4849,937.0,49453.4103,40535.5822,6217.2329,,
86165265-2025-07-05,86165265,2025-07-05,,277.99,291.99,14.0,336.0,541.0,75073.1687,91589.2658,129108.6337,157512.5331,93404.64,157966.59,-454.0569,29579.2576,49684.4225,353.0,20105.1649,236.0,60830.5201,49861.0821,23474.3943,163.8317,200.4721
83621650-2025-07-03,83621650,2025-07-03,,131.99,131.69,-0.3,56.0,81.0,5876.9672,7169.9,8308.9067,10136.8662,7391.44,10666.89,-530.0238,830.0985,1113.3752,355.0,283.2767,,,,,68.4949,81.6424
82849701-2025-10-21,82849701,2025-10-21,,97.99,102.29,4.3,104.0,65.0,8276.6783,10097.5475,5202.9806,6347.6364,10190.96,6648.85,-301.2136,1130.7591,961.7619,245.0,-168.9972,,,,,182.1448,174.0627
82096367-2026-02-27,82096367,2026-02-27,,362.0,369.39,7.39,5.0,1.0,1469.0312,1792.218,302.7787,369.39,1810.0,369.39,0.0,710.1484,141.6558,116.0,-568.4926,2.0,647.5314,530.7634,79.3345,490.9731,
86654297-2025-10-20,86654297,2025-10-20,,35.99,31.59,-4.4,15.0,17.0,437.3417,533.5569,432.1126,527.1774,539.85,537.03,-9.8526,134.7297,79.848,246.0,-54.8816,21.0,631.8099,517.877,-19.0642,193.8897,355.7889
81037325-2026-05-12,81037325,2026-05-12,2026-10-13,210.9,212.79,1.89,17.0,22.0,2869.9526,3501.3421,3787.1905,4620.3724,3585.3,4681.38,-61.0076,585.1646,950.9544,154.0,365.7898,5.0,875.0793,717.2781,162.2063,343.539,290.3757
85534705-2025-09-06,85534705,2025-09-06,2026-01-15,192.49,217.19,24.7,162.0,112.0,25017.986,30521.9429,18982.7225,23158.9215,31183.38,24325.28,-1166.3585,6457.2229,6558.367,131.0,101.1442,195.0,34356.2224,28160.838,7606.4031,40.2508,42.6609
86605361-2025-08-04,86605361,2025-08-04,,36.99,40.59,3.6,153.0,218.0,4572.4261,5578.3598,7216.1446,8803.6965,5659.47,8848.62,-44.9235,655.4845,1327.4339,323.0,671.9494,99.0,3563.0162,2920.5051,962.4076,,
82724933-2025-09-27,82724933,2025-09-27,,72.9,80.89,7.99,270.0,94.0,15950.3404,19459.4153,6078.4254,7415.679,19683.0,7603.66,-187.981,5168.5424,1933.6263,269.0,-3234.9161,281.0,19760.7924,16197.3708,2149.1903,151.548,91.8328
80875270-2025-09-30,80875270,2025-09-30,2025-10-28,49.9,52.19,2.29,1.0,0.0,40.5412,49.4602,0.0,0.0,49.9,0.0,0.0,14.9017,0.0,28.0,-14.9017,0.0,0.0,0.0,0.0,37.6059,36.763
87610914-2025-12-15,87610914,2025-12-15,,103.99,117.99,14.0,7.0,10.0,584.5362,713.1342,951.2314,1160.5023,727.93,1179.9,-19.3977,295.4629,503.6309,190.0,208.1679,7.0,771.7857,632.6112,191.8066,286.1396,338.1828
88446065-2025-11-17,88446065,2025-11-17,,98.9,91.89,-7.01,39.0,34.0,3142.6979,3834.0914,2560.8689,3124.26,3857.1,3124.26,0.0,658.3392,558.2622,218.0,-100.0771,26.0,2670.4177,2188.867,684.8235,370.0352,473.7207
88454417-2026-03-28,88454417,2026-03-28,,1298.9,1406.09,107.19,5.0,4.0,5295.2367,6460.1888,4610.1311,5624.36,6494.5,5624.36,0.0,1326.6261,1483.7866,87.0,157.1605,4.0,5189.9127,4254.0268,1348.823,202.2636,318.3141
88241574-2025-11-27,88241574,2025-11-27,2026-05-05,285.9,268.69,-17.21,136.0,38.0,31715.2404,38692.5933,8369.0328,10210.22,38882.4,10210.22,0.0,4387.1011,76.4427,159.0,-4310.6583,148.0,35893.8832,29421.2157,8889.144,427.2225,425.6997
82711065-2025-11-07,82711065,2025-11-07,2026-04-10,6.0,6.39,0.39,130.0,117.0,638.1018,778.4842,608.5173,742.3911,780.0,747.63,-5.2389,168.5513,208.9653,154.0,40.4139,158.0,964.4703,790.5494,185.191,199.52,201.9236
89023551-2025-09-30,89023551,2025-09-30,2026-03-12,126.99,119.69,-7.3,84.0,102.0,8581.4072,10469.3168,9991.2152,12189.2825,10667.16,12208.38,-19.0975,2776.8019,2586.0707,163.0,-190.7311,75.0,9699.9558,7950.7835,2511.88,126.9028,
84997598-2025-12-11,84997598,2025-12-11,,116.49,102.29,-14.2,74.0,120.0,6851.7606,8359.148,9890.3635,12066.2434,8620.26,12274.8,-208.5566,2095.9837,2655.0218,194.0,559.0381,80.0,8638.8855,7081.0537,2209.5067,,
88279628-2025-12-25,88279628,2025-12-25,2026-05-05,72.9,69.89,-3.01,8.0,12.0,467.0172,569.7609,661.0126,806.4353,583.2,838.68,-32.2447,99.2166,88.9946,131.0,-10.222,,,,,81.4548,114.1529
86676276-2025-09-28,86676276,2025-09-28,,11.99,12.69,0.7,7.0,10.0,67.2804,82.0821,95.8194,116.8997,83.93,126.9,-10.0003,12.647,22.2867,268.0,9.6397,9.0,100.2185,82.1463,27.4361,86.1408,91.6963
85790657-2026-03-26,85790657,2026-03-26,2026-05-31,23.99,19.99,-4.0,33.0,61.0,629.7491,768.2939,978.918,1194.28,791.67,1219.39,-25.11,153.3418,78.2141,66.0,-75.1277,60.0,1458.6404,1195.6069,218.6868,748.7255,505.015
83955008-2026-03-17,83955008,2026-03-17,,68.99,59.99,-9.0,16.0,22.0,903.1643,1101.8604,1081.7869,1319.78,1103.84,1319.78,0.0,234.8996,243.2242,98.0,8.3247,17.0,1206.874,989.241,164.5881,150.2235,98.7415
86992316-2026-04-12,86992316,2026-04-12,,23.9,24.49,0.59,75.0,70.0,1434.3425,1749.8978,1363.0799,1662.9575,1792.5,1714.3,-51.3425,231.8133,127.3743,72.0,-104.439,119.0,3098.5631,2539.8059,659.7036,598.6534,602.211
87784243-2025-10-13,87784243,2025-10-13,2025-11-29,76.99,82.09,5.1,359.0,303.0,22372.1573,27294.0319,19752.1117,24097.5763,27639.41,24873.27,-775.6937,7511.341,7797.7067,47.0,286.3657,483.0,32430.3502,26582.2543,12285.3543,1161.3687,1034.3093
88175705-2025-09-22,88175705,2025-09-22,2026-01-21,10.9,12.49,1.59,23.0,33.0,204.362,249.3217,313.2166,382.1243,250.7,412.17,-30.0457,32.5609,56.8918,121.0,24.3309,22.0,241.7211,198.132,51.9177,306.6431,
80979675-2026-01-22,80979675,2026-01-22,2026-06-20,27.99,26.39,-1.6,15.0,18.0,339.8128,414.5716,374.414,456.7851,419.85,475.02,-18.2349,62.2947,36.8553,149.0,-25.4393,11.0,314.0824,257.4446,55.2737,,
87855168-2026-03-08,87855168,2026-03-08,2026-08-05,273.0,286.19,13.19,7.0,1.0,1538.6304,1877.1291,210.4144,256.7056,1911.0,286.19,-29.4844,252.4306,29.9767,150.0,-222.454,11.0,3029.9,2483.5246,450.6017,147.6201,
81414723-2025-12-30,81414723,2025-12-30,,34.99,40.89,5.9,41.0,12.0,1137.9611,1388.3126,389.9053,475.6844,1434.59,490.68,-14.9956,636.9315,247.4763,175.0,-389.4553,19.0,642.1562,526.3575,112.4164,,
88294377-2025-12-24,88294377,2025-12-24,,12.9,13.29,0.39,165.0,242.0,1734.486,2116.073,2636.2131,3216.18,2128.5,3216.18,0.0,595.4967,1009.1315,181.0,413.6349,183.0,2249.8373,1844.1289,648.2751,93.1578,88.5151
88385494-2026-04-13,88385494,2026-04-13,2026-07-31,231.9,199.09,-32.81,164.0,148.0,30313.9154,36982.9767,23497.4613,28666.9028,38031.6,29465.32,-798.4172,6581.8796,2003.7172,109.0,-4578.1624,114.0,26061.3976,21361.8013,3524.4562,272.3954,276.3688
88179272-2026-01-15,88179272,2026-01-15,2026-04-11,102.9,103.99,1.09,16.0,25.0,1330.3563,1623.0347,2130.9426,2599.75,1646.4,2599.75,0.0,266.7973,472.7036,86.0,205.9063,23.0,2281.768,1870.3016,409.6855,158.6995,242.9762
85638694-2025-11-26,85638694,2025-11-26,,19.49,19.19,-0.3,40.0,46.0,622.9149,759.9562,707.8686,863.5997,779.6,882.74,-19.1403,222.5398,211.2039,209.0,-11.3359,,,,,310.1839,83.2469
83388215-2025-11-22,83388215,2025-11-22,,1833.99,2312.29,478.3,588.0,346.0,875253.4276,1067809.1817,655780.6066,800052.34,1078386.12,800052.34,0.0,329899.9924,331595.5863,213.0,1695.5939,541.0,844838.5593,692490.6224,179390.7316,,
81303189-2025-12-01,81303189,2025-12-01,2026-03-06,83.9,90.29,6.39,1467.0,2136.0,100814.6268,122993.8447,158081.5082,192859.44,123081.3,192859.44,0.0,13080.0092,42987.2547,95.0,29907.2455,,,,,179.059,
83121687-2026-03-10,83121687,2026-03-10,,49.0,53.19,4.19,55.0,52.0,2179.7393,2659.2819,2265.6382,2764.0786,2695.0,2765.88,-1.8014,856.3373,1003.5949,105.0,147.2575,91.0,3897.87,3194.9754,657.9011,38.6358,37.4571
82986076-2026-05-25,82986076,2026-05-25,,283.9,291.19,7.29,15.0,8.0,3431.4946,4186.4234,1909.4426,2329.52,4258.5,2329.52,0.0,1056.2499,769.0767,29.0,-287.1732,22.0,6082.738,4985.8508,1560.3008,219.3898,190.203
82157167-2026-01-29,82157167,2026-01-29,2026-07-24,464.99,480.69,15.7,3.0,1.0,1142.5738,1393.94,383.1108,467.3952,1394.97,480.69,-13.2948,290.9121,77.6453,176.0,-213.2668,2.0,821.5723,673.4199,211.8155,215.451,217.946
81035447-2026-05-11,81035447,2026-05-11,,100.9,94.69,-6.21,13.0,14.0,1040.251,1269.1062,998.2912,1217.9153,1311.7,1325.66,-107.7447,485.6979,361.8678,43.0,-123.8301,5.0,526.4018,431.4769,51.964,25.048,16.3407
80713872-2025-10-04,80713872,2025-10-04,,38.9,36.59,-2.31,246.0,361.0,7657.6309,9342.3097,10827.041,13208.99,9569.4,13208.99,0.0,3157.4995,4288.4861,262.0,1130.9867,222.0,8912.4206,7305.2628,1778.9307,577.9293,479.536
85073613-2025-11-29,85073613,2025-11-29,2026-05-21,69.99,70.79,0.8,14.0,18.0,793.4173,967.969,1044.4426,1274.22,979.86,1274.22,0.0,211.8923,274.6833,173.0,62.7911,22.0,1382.8327,1133.4694,247.5359,399.7948,
85514682-2026-04-29,85514682,2026-04-29,,78.49,82.79,4.3,17.0,19.0,1073.5645,1309.7486,1234.481,1506.0668,1334.33,1573.01,-66.9432,422.8165,494.7906,55.0,71.9741,12.0,809.3729,663.4204,91.339,72.1235,97.0589
89787737-2025-11-18,89787737,2025-11-18,2026-01-08,54.49,56.09,1.6,24.0,28.0,1035.3432,1263.1187,1182.7792,1442.9907,1307.76,1570.52,-127.5293,94.6683,32.3224,51.0,-62.3459,31.0,1666.6176,1366.08,458.8521,349.7971,349.5713
88072519-2026-01-12,88072519,2026-01-12,,167.99,173.59,5.6,147.0,130.0,20084.95,24503.639,17870.4669,21801.9696,24694.53,22566.7,-764.7304,6428.4605,5613.8888,162.0,-814.5718,,,,,94.8431,56.5358
81902732-2025-11-18,81902732,2025-11-18,,15.9,16.79,0.89,73.0,64.0,942.2173,1149.5052,870.8685,1062.4596,1160.7,1074.56,-12.1004,440.0534,410.716,217.0,-29.3374,98.0,1409.9439,1155.6918,370.2233,72.3346,96.2617
83122645-2025-07-27,83122645,2025-07-27,,62.9,70.69,7.79,73.0,51.0,3669.2565,4476.493,2639.2241,3219.8533,4591.7,3605.19,-385.3367,1853.1089,1344.1132,331.0,-508.9956,71.0,4511.5186,3697.9661,968.677,169.2412,
89830020-2025-11-13,89830020,2025-11-13,2026-04-11,48.99,54.19,5.2,60.0,38.0,2382.6584,2906.8433,1576.3772,1923.1802,2939.4,2059.22,-136.0398,271.1025,375.5693,149.0,104.4667,46.0,2106.9396,1726.9997,475.9928,124.0705,
80364459-2026-04-25,80364459,2026-04-25,2026-08-22,111.49,109.19,-2.3,599.0,674.0,54382.6011,66346.7733,59521.6661,72616.4327,66782.51,73594.06,-977.6273,11737.4414,12081.9309,119.0,344.4895,574.0,60096.9184,49259.7692,8824.2026,41.6117,31.6616
80224586-2026-03-02,80224586,2026-03-02,,326.9,356.59,29.69,9.0,8.0,2367.399,2888.2268,2253.5423,2749.3216,2942.1,2852.72,-103.3984,813.758,752.2378,113.0,-61.5201,10.0,3179.5806,2606.2136,780.1892,207.8205,
80805640-2025-11-21,80805640,2025-11-21,,89.99,90.89,0.9,255.0,346.0,18546.9607,22627.292,25429.6025,31024.1151,22947.45,31447.94,-423.8249,4911.169,7896.5073,214.0,2985.3384,215.0,18505.0622,15168.0838,3439.8257,60.5925,97.9216
85174796-2025-08-10,85174796,2025-08-10,,139.9,131.79,-8.11,41.0,27.0,4567.159,5571.9339,2916.6639,3558.33,5735.9,3558.33,0.0,1390.1354,580.7246,317.0,-809.4108,38.0,4384.8126,3594.1087,930.7325,139.0861,146.2099
82653561-2025-09-30,82653561,2025-09-30,,306.99,277.59,-29.4,110.0,37.0,27523.2643,33578.3824,8418.7131,10270.83,33768.9,10270.83,0.0,6849.8453,1520.1824,266.0,-5329.6629,142.0,46595.3981,38192.9493,9868.212,337.2918,323.8069
85874519-2026-02-06,85874519,2026-02-06,,183.49,190.39,6.9,1391.0,1732.0,205712.8529,250969.6806,263380.774,321324.5443,255234.59,329755.48,-8430.9357,102413.445,135252.3031,137.0,32838.858,1322.0,259842.6848,212985.8072,26979.8635,28.6358,27.2459
82788916-2025-09-30,82788916,2025-09-30,2025-12-16,765.99,632.59,-133.4,83.0,79.0,50331.7037,61404.6785,38257.9386,46674.6851,63577.17,49974.61,-3299.9249,6950.4302,-6079.5543,77.0,-13029.9846,36.0,26599.6559,21802.9966,5555.3794,78.7412,
85654206-2026-03-17,85654206,2026-03-17,2026-04-20,61.99,72.69,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,2.0,135.8198,111.3277,21.3319,65.5354,88.622
83580004-2025-09-10,83580004,2025-09-10,2025-12-24,31.9,28.89,-3.01,163.0,131.0,4145.0255,5056.9311,2912.8255,3553.6471,5199.7,3784.59,-230.9429,1531.4306,652.2636,105.0,-879.167,,,,,273.2395,278.3628
83808140-2025-08-15,83808140,2025-08-15,,117.0,129.89,12.89,635.0,755.0,60417.7193,73709.6175,77858.212,94987.0187,74295.0,98066.95,-3079.9313,5026.5701,8503.4883,312.0,3476.9181,853.0,94552.8417,77502.3293,18479.1997,49.7761,43.5722
81119873-2025-10-04,81119873,2025-10-04,,133.0,129.69,-3.31,4.0,4.0,427.1749,521.1533,420.2175,512.6654,532.0,518.76,-6.0946,153.5093,127.8779,262.0,-25.6314,5.0,603.241,494.4598,118.6122,23.396,24.8262
88606987-2025-08-28,88606987,2025-08-28,,81.0,84.69,3.69,16.0,14.0,1043.9222,1273.5851,966.0884,1178.6278,1296.0,1185.66,-7.0322,310.6946,371.3416,299.0,60.647,12.0,961.32,787.9672,83.7319,230.9493,
80770645-2025-09-26,80770645,2025-09-26,,74.9,68.19,-6.71,191.0,270.0,11706.2889,14281.6725,15091.2295,18411.3,14305.9,18411.3,0.0,5006.4815,5614.5906,270.0,608.1091,298.0,20676.0905,16947.6152,4913.1676,15.4852,18.0476
86068803-2026-02-02,86068803,2026-02-02,2026-07-08,1142.49,1238.59,96.1,92.0,36.0,83756.5956,102183.0466,34663.6702,42289.6776,105109.08,44589.24,-2299.5624,48027.8304,21023.2968,156.0,-27004.5336,96.0,113886.0898,93349.254,13826.7544,115.439,178.5766
82011513-2025-11-14,82011513,2025-11-14,2025-12-18,13.0,15.29,2.29,36.0,0.0,377.3493,460.3661,0.0,0.0,468.0,0.0,0.0,106.5612,0.0,34.0,-106.5612,17.0,242.0476,198.3997,73.9643,,
86460923-2026-04-04,86460923,2026-04-04,2026-06-06,23.9,26.89,2.99,1724.0,541.0,32733.476,39934.8407,11851.4132,14458.7241,41203.6,14547.49,-88.7659,13319.1112,5543.9375,63.0,-7775.1737,1579.0,36965.5628,30299.6417,1404.7014,897.6185,1299.2323
84402142-2025-10-27,84402142,2025-10-27,2026-01-10,13.99,11.89,-2.1,19.0,19.0,212.6006,259.3727,176.6897,215.5615,265.81,225.91,-10.3485,60.4763,16.6976,75.0,-43.7787,26.0,381.3128,312.5515,77.8103,462.9375,440.32
89512621-2025-08-21,89512621,2025-08-21,,485.9,483.49,-2.41,443.0,659.0,173477.2802,211642.2819,252093.0986,307553.5803,215253.7,318619.91,-11066.3297,45656.507,58373.5686,306.0,12717.0616,529.0,228353.579,187175.0647,26063.1595,68.8027,56.1328
84285888-2026-02-21,84285888,2026-02-21,,32.9,38.29,5.39,980.0,699.0,26005.3107,31726.479,21506.6504,26238.1135,32242.0,26764.71,-526.5965,8099.7192,8447.1664,122.0,347.4472,1208.0,40421.8165,33132.6365,12660.0279,40.6374,33.2253
87241553-2025-11-24,87241553,2025-11-24,2026-03-06,815.9,867.19,51.29,20.0,17.0,12925.4452,15769.0432,12083.7951,14742.23,16318.0,14742.23,0.0,3846.5509,4135.642,102.0,289.0911,20.0,15502.4846,12706.9546,4353.9441,54.676,67.6466
88478156-2026-02-16,88478156,2026-02-16,,434.99,444.99,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,-0.0,347.4382,276.1326
80136144-2025-10-29,80136144,2025-10-29,,31.99,34.39,2.4,3.0,3.0,76.7813,93.6731,81.1675,99.0243,95.97,103.17,-4.1457,3.6238,6.0947,237.0,2.4709,7.0,222.9908,182.7794,19.7589,57.6449,78.4771
80401890-2025-09-15,80401890,2025-09-15,2026-03-03,289.9,296.29,6.39,23.0,15.0,5280.2798,6441.9413,3500.7105,4270.8668,6667.7,4444.35,-173.4832,1449.4431,1015.5183,169.0,-433.9248,,,,,518.9453,669.9431
81173866-2025-12-17,81173866,2025-12-17,,33.49,30.49,-3.0,272.0,177.0,7256.5347,8852.9724,4006.398,4887.8056,9109.28,5396.73,-508.9244,2569.9091,777.7089,188.0,-1792.2002,213.0,6530.1525,5352.5841,1976.7032,1600.8539,2246.4688
85553042-2025-10-13,85553042,2025-10-13,,40.99,37.69,-3.3,12.0,15.0,397.2237,484.6129,436.4396,532.4563,491.88,565.35,-32.8937,133.1919,93.9701,253.0,-39.2218,17.0,703.4797,576.6227,97.3333,170.6326,191.4161
89255261-2025-12-04,89255261,2025-12-04,2026-05-14,287.9,268.29,-19.61,412.0,686.0,94469.0081,115252.1898,143584.9103,175173.5906,118614.8,184046.94,-8873.3494,15927.5769,16122.4925,161.0,194.9156,,,,,115.3622,108.1443
87281549-2026-01-19,87281549,2026-01-19,2026-02-10,232.99,211.29,-21.7,110.0,95.0,20629.527,25168.0229,16136.0066,19685.928,25628.9,20072.55,-386.622,8692.8133,6604.5134,22.0,-2088.2998,78.0,18340.4718,15033.1736,2710.6576,62.3792,78.1487
87639403-2026-02-27,87639403,2026-02-27,2026-07-17,49.99,54.89,4.9,12.0,12.0,478.7339,584.0553,523.7463,638.9705,599.88,658.68,-19.7095,145.1648,208.2011,140.0,63.0363,24.0,1297.203,1063.2811,138.9693,222.0865,228.7402
88447352-2026-03-21,88447352,2026-03-21,2026-04-22,267.9,262.99,-4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,,
89208928-2025-08-13,89208928,2025-08-13,2025-11-10,2.99,2.69,-0.3,49.0,116.0,119.4233,145.6964,246.0816,300.2195,146.51,312.04,-11.8205,63.9132,110.9084,89.0,46.9952,,,,,887.1691,1039.0699
80280925-2025-08-17,80280925,2025-08-17,,48.99,40.19,-8.8,803.0,905.0,31314.2799,38203.4214,28159.5963,34354.7075,39338.97,36371.95,-2017.2425,6614.0772,-422.5493,310.0,-7036.6265,,,,,46.884,38.746
86961258-2026-04-27,86961258,2026-04-27,,196.99,198.59,1.6,0.0,2.0,0.0,0.0,325.5574,397.18,0.0,397.18,0.0,0.0,80.633,57.0,80.633,1.0,171.0364,140.1938,14.9797,79.8264,78.0732
88302216-2025-12-19,88302216,2025-12-19,2026-03-05,52.99,58.69,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,,,,,124.2846,151.5404
87276008-2025-12-08,87276008,2025-12-08,2026-04-18,50.99,48.39,-2.6,6.0,11.0,247.1827,301.5629,436.3033,532.29,305.94,532.29,0.0,129.5996,221.5525,131.0,91.9529,,,,,1021.3858,1631.8032
81032469-2025-08-20,81032469,2025-08-20,2025-09-23,15.99,17.49,1.5,8.0,7.0,103.5942,126.3849,94.2828,115.025,127.92,122.43,-7.405,9.5924,19.4548,34.0,9.8625,,,,,185.6163,171.8084
80935256-2026-02-09,80935256,2026-02-09,,620.9,583.79,-37.11,12.0,7.0,5942.8231,7250.2442,3158.8502,3853.7972,7450.8,4086.53,-232.7328,1399.8087,583.3292,134.0,-816.4795,6.0,3410.9229,2795.8385,875.7532,,
81473921-2025-07-17,81473921,2025-07-17,2025-12-27,40.9,37.29,-3.61,63.0,63.0,2085.5302,2544.3468,1925.6311,2349.27,2576.7,2349.27,0.0,890.8095,676.2869,163.0,-214.5226,50.0,2208.9969,1810.6532,414.6706,59.3522,40.7538
80077172-2025-08-28,80077172,2025-08-28,2026-02-18,204.99,226.59,21.6,154.0,36.0,25443.2103,31040.7165,6527.959,7964.1099,31568.46,8157.24,-193.1301,5809.7473,1672.8573,174.0,-4136.89,149.0,30181.4399,24738.8852,5482.0439,137.3771,169.8861
88850430-2025-12-02,88850430,2025-12-02,,24.0,25.09,1.09,59.0,59.0,1129.3602,1377.8194,1196.7154,1459.9928,1416.0,1480.31,-20.3172,190.3683,326.5752,203.0,136.2069,51.0,1161.9404,952.4102,248.4183,131.2294,142.7843
85133619-2026-02-03,85133619,2026-02-03,,810.9,902.59,91.69,7.0,9.0,4524.8267,5520.2886,6561.9041,8005.523,5676.3,8123.31,-117.787,1934.3928,3403.7016,140.0,1469.3087,10.0,7470.0649,6123.004,2058.9557,19.0811,27.6547
83417095-2025-09-16,83417095,2025-09-16,,514.9,562.69,47.79,157.0,183.0,65011.4027,79313.9113,84403.5,102972.27,80839.3,102972.27,0.0,17919.2151,32170.359,280.0,14251.1438,157.0,75624.1484,61987.0068,19085.6088,170.6908,31.0622
